Date,Open,High,Low,Close,Volume
2025-01-02,7.04,7.31,6.995,7.18,2911348
2025-01-03,7.19,7.2,7.075,7.12,1763062
2025-01-06,7.14,7.27,7.04,7.15,3622447
2025-01-07,7.31,7.48,7.09,7.14,3407229
2025-01-08,7.188,7.505,7.115,7.49,2876359
2025-01-10,7.56,7.65,7.395,7.42,2948329
2025-01-13,7.32,7.32,7.045,7.055,2154498
2025-01-14,7.05,7.4301,7.03,7.38,2053669
2025-01-15,7.54,7.54,7.22,7.4,1597077
2025-01-16,7.48,7.79,7.42,7.69,3117166
2025-01-17,7.65,7.74,7.5826,7.62,2915218
2025-01-21,7.69,7.96,7.69,7.84,1759586
2025-01-22,7.89,8.01,7.75,7.8,2353853
2025-01-23,7.67,7.91,7.66,7.87,2134005
2025-01-24,8.02,8.15,7.905,8.02,2049389
2025-01-27,7.86,7.89,7.57,7.61,1631069
2025-01-28,7.67,7.75,7.555,7.65,1847210
2025-01-29,7.66,7.99,7.64,7.82,1989371
2025-01-30,8,8.31,7.98,8.16,2339399
2025-01-31,8.14,8.1681,7.9743,8.03,3235904
2025-02-03,7.96,8.2,7.9099,8.04,2224575
2025-02-04,8.15,8.26,7.995,8.19,2267850
2025-02-05,8.44,9.6,8.4,9.11,6161475
2025-02-06,9.1,9.245,9.02,9.12,3127061
2025-02-07,9.15,9.38,8.99,9.01,2877650
2025-02-10,9.29,9.4,9.11,9.21,2996057
2025-02-11,9.02,9.325,8.94,9.08,2656352
2025-02-12,9.02,9.335,9.01,9.22,2004359
2025-02-13,9.22,9.4,9.14,9.34,1887361
2025-02-14,9.45,9.45,9.07,9.14,2573182
2025-02-18,9.33,9.46,9.235,9.33,3693613
2025-02-19,9.075,10.6261,8.96,10.52,6137352
2025-02-20,10.5,10.91,10.465,10.5,3810970
2025-02-21,10.415,10.54,10.22,10.23,3347981
2025-02-24,10.41,10.705,10.18,10.47,3293100
2025-02-25,10.31,10.41,10.04,10.25,2363404
2025-02-26,10.25,10.65,10.18,10.49,2294038
2025-02-27,10.32,10.4,9.985,10.1,2096285
2025-02-28,9.97,10.025,9.81,9.99,1933767
2025-03-03,9.99,10.19,9.47,9.56,2375748
2025-03-04,9.69,9.88,9.37,9.76,2347487
2025-03-05,9.83,10.44,9.74,10.42,1982378
2025-03-06,10.22,10.56,10.06,10.15,2193538
2025-03-07,10.22,10.3399,9.77,9.91,2484983
2025-03-10,9.66,9.83,9.385,9.49,1958097
2025-03-11,9.59,9.96,9.59,9.91,2496482
2025-03-12,9.97,10.31,9.88,10.24,2139843
2025-03-13,10.28,10.775,10.27,10.7,3346169
2025-03-14,10.76,10.79,10.58,10.72,2231778
2025-03-17,10.78,11.01,10.67,10.99,2942678
2025-03-18,11.21,11.29,11.01,11.04,2709080
2025-03-19,11.01,11.275,10.91,11.18,2179704
2025-03-20,11.04,11.3759,10.99,11.11,1513856
2025-03-21,10.98,11.06,10.8,10.88,4804684
2025-03-24,10.97,11.12,10.74,10.81,2611394
2025-03-25,11.03,11.3286,10.96,10.99,2317216
2025-03-26,11.04,11.1701,10.865,10.88,1610423
2025-03-27,10.99,11.355,10.96,11.21,2255501
2025-03-28,11.3,11.475,10.785,10.88,2505296
2025-03-31,10.9,10.99,9.785,10.03,4395946
2025-04-01,10,10.03,9.78,9.99,2406654
2025-04-02,9.99,10.13,9.675,10,2474271
2025-04-03,9.36,10.29,9.34,10.08,3110215
2025-04-04,9.68,9.71,8.79,9.09,3363650
2025-04-07,8.67,9.86,8.651,9.16,2546470
2025-04-08,9.47,9.83,9.14,9.27,2996806
2025-04-09,9.91,10.31,9.47,10.03,3389773
2025-04-10,10,10.46,9.97,10.18,2145104
2025-04-11,10.52,10.815,10.52,10.65,2528359
2025-04-14,10.5,10.999575,10.5,10.87,2420757
2025-04-15,10.97,11.02,10.71,10.81,1545054
2025-04-16,11.12,11.2999,10.835,10.98,2897635
2025-04-17,10.92,10.96,10.735,10.84,1779927
2025-04-21,10.99,11.155,10.28,10.54,3596826
2025-04-22,10.77,10.81,10.37,10.38,2694680
2025-04-23,9.99,10.36,9.98,10.1,2627149
2025-04-24,10.36,10.39,10.11,10.3,1893156
2025-04-25,10,10.335,9.9536,10.25,1675621
2025-04-28,10.17,10.63,10.17,10.63,2284359
2025-04-29,10.5,10.58,10.275,10.49,1730901
2025-04-30,10.32,10.695,10.32,10.64,2020958
2025-05-01,10.41,10.4164,10.01,10.06,2167267
2025-05-02,10.19,10.22,9.875,10.03,1761697
2025-05-05,10.29,10.515,10.1,10.48,1656509
2025-05-06,10.65,10.94,10.565,10.92,2967382
2025-05-07,10.87,11.57,10.57,11.2,4235117
2025-05-08,11.1,11.1,10.695,10.78,2236399
2025-05-09,10.81,11.61,10.81,11.59,3009227
2025-05-12,11.09,11.21,10.43,10.57,2787629
2025-05-13,10.63,10.69,10.42,10.55,1476283
2025-05-14,10.34,10.395,10.185,10.26,2006100
2025-05-15,10.47,10.96,10.465,10.94,2274265
2025-05-16,10.625,10.7564,10.54,10.74,2047347
2025-05-19,10.85,10.9,10.66,10.85,1193574
2025-05-20,10.82,11.23,10.7807,11.23,1749725
2025-05-21,11.325,11.47,11.22,11.42,2285319
