Date,Open,High,Low,Close,Volume
2021-01-04,255.652,256.202,249.096,253.732,3730645.9358264
2021-01-05,252.664,261.867,251.409,259.407,4393879.181275
2021-01-06,264.542,276.116,261.484,273.411,6666963.753161
2021-01-07,275.538,283.319,274.489,279.253,4187765.8135403
2021-01-08,279.594,279.86,272.931,277.762,2925140.7034372
2021-01-11,274.606,282.457,272.127,281.34,2767801.9588
2021-01-12,284.505,291.051,283.437,289.366,5028124.7848839
2021-01-13,287.319,290.797,286.387,290.062,2520996.3049388
2021-01-14,291.121,296.256,290.63,294.786,3333904.3090393
2021-01-15,288.386,291.905,284.251,288.22,4035276.8792331
2021-01-19,292.042,293.561,281.31,281.692,7026513.9773145
2021-01-20,283.25,284.809,275.263,278.125,5005441.9985101
2021-01-21,278.106,280.281,276.253,277.066,2629545.1209546
2021-01-22,274.499,278.243,273.362,277.086,2682811.4051235
2021-01-25,273.391,274.175,265.699,271.001,4778142.7246358
2021-01-26,271.863,273.618,268.177,269.795,3443229.6252992
2021-01-27,264.268,265.571,259.789,261.71,4064638.9962234
2021-01-28,262.945,267.943,259.798,263.327,3946473.2093766
2021-01-29,262.611,265.6,259.113,259.641,3563468.8004462
2021-02-01,261.073,265.032,260.435,263.062,2427279.5619204
2021-02-02,266.492,275.999,266.188,274.773,5426206.1551937
2021-02-03,274.421,277.498,273.048,276.272,2833220.828921
2021-02-04,277.684,283.26,277.213,281.271,3127667.4767453
2021-02-05,282.457,284.603,279.771,281.026,3068589.1749791
2021-02-08,282.457,288.103,281.977,287.386,2951657.0133562
2021-02-09,286.867,289.601,285.055,287.68,2163684.7687431
2021-02-10,287.239,292.208,285.102,291.346,3356344.2477678
2021-02-11,291.051,292.052,286.455,289.474,2255767.9021806
2021-02-12,289.151,293.658,288.934,293.296,2065091.68582
2021-02-16,296.814,299.627,296.079,298.686,2916174.7275547
2021-02-17,296.843,301.597,295.628,299.45,2573836.075176
2021-02-18,296.079,301.137,294.502,296.726,2188170.5458288
2021-02-19,297.04,303.322,297.04,302.194,2871623.4086767
2021-02-22,299.706,306.938,298.931,303.41,3302680.0199782
2021-02-23,304.458,306.4,297.373,305.635,3073179.8117716
2021-02-24,306.566,316.896,306.487,316.592,4109116.8485869
2021-02-25,319.15,321.54,312.417,313.828,4320851.4250545
2021-02-26,311.927,314.709,305.479,305.899,3897934.2913466
2021-03-01,312.407,318.219,310.78,317.13,3078342.8751567
2021-03-02,317.209,323.168,316.729,318.13,2965235.0537645
2021-03-03,320.748,326.922,320.326,321.472,3751683.8885685
2021-03-04,320.218,326.598,311.368,316.533,3794665.8810658
2021-03-05,322.571,322.571,304.194,314.691,3891190.6775299
2021-03-08,318.503,324.501,316.346,321.247,3118854.5561015
2021-03-09,315.885,323.364,312.946,317.787,3458864.7281156
2021-03-10,319.199,329.137,318.669,328.764,3280225.7960941
2021-03-11,325.539,331.635,323.422,328.842,2867689.8890424
2021-03-12,331.841,336.437,330.313,335.291,2534980.4519138
2021-03-15,335.898,338.76,328.744,332.644,2369661.4071314
2021-03-16,331.9,333.448,324.658,328.46,2426593.8744511
2021-03-17,331.273,333.575,327.205,331.586,2820194.8077403
2021-03-18,337.153,343.023,333.536,334.516,3865018.2317139
2021-03-19,332.997,333.781,327.431,330.861,3654584.6247751
2021-03-22,327.843,329.596,322.982,326.176,2178989.2722439
2021-03-23,324.53,328.637,318.473,318.905,2556619.4015598
2021-03-24,320.491,323.893,315.71,315.915,3466504.2252628
2021-03-25,314.671,318.532,309.447,317.748,2917790.9908753
2021-03-26,321.55,322.442,310.173,314.709,3206827.646196
2021-03-29,307.938,315.063,305.409,313.103,4716001.2773592
2021-03-30,316.64,322.736,316.112,319.14,2826815.977366
2021-03-31,317.434,319.767,312.828,314.328,2730347.301156
2021-04-01,311.731,316.876,311.603,314.946,2766145.9011174
2021-04-05,319.963,319.963,310.525,311.005,3365416.3419491
2021-04-06,311.917,315.808,311.447,314.386,1874621.5838477
2021-04-07,315.004,316.445,310.82,313.896,2244307.1259074
2021-04-08,311.731,318.63,310.447,318.316,2499621.6306715
2021-04-09,321.06,321.924,316.052,318.003,2441773.8930244
2021-04-12,319.787,321.521,317.15,318.973,2412260.7615319
2021-04-13,316.729,317.258,311.623,314.984,3720067.7780963
2021-04-14,315.818,331.125,313.505,322.344,10274930.813336
2021-04-15,325.775,328.117,321.58,325.432,4530336.0895136
2021-04-16,327.097,330.41,325.499,329.047,4402463.5394291
2021-04-19,326.823,331.087,323.559,329.803,3358301.3140866
2021-04-20,326.794,327.274,316.592,319.013,3809917.3254172
2021-04-21,317.209,322.461,314.866,322.266,2843440.8373926
2021-04-22,321.659,323.922,317.493,318.042,2252487.4182313
